"Institution","Earnings after 6 years","Earnings after 8 years","Earnings after 10 years","City","State","Zip","url","Type","Retention"
"Alabama A & M University",0.431,0.483,0.567,"Normal","AL","35762","www.aamu.edu/","FullTime",0.5879
"University of Alabama at Birmingham",0.631,0.686,0.726,"Birmingham","AL","35294-0110","www.uab.edu","FullTime",0.8436
"Amridge University",0.542,0.631,0.7,"Montgomery","AL","36117-3553","www.amridgeuniversity.edu","FullTime",0.6667
"University of Alabama in Huntsville",0.649,0.71,0.755,"Huntsville","AL","35899","www.uah.edu","FullTime",0.8248
"Alabama State University",0.351,0.436,0.494,"Montgomery","AL","36104-0271","www.alasu.edu","FullTime",0.5923
"The University of Alabama",0.679,0.722,0.765,"Tuscaloosa","AL","35487-0166","www.ua.edu/","FullTime",0.8709
"Auburn University at Montgomery",0.546,0.615,0.62,"Montgomery","AL","36117-3596","www.aum.edu","FullTime",0.6828
"Auburn University",0.726,0.775,0.803,"Auburn","AL","36849","www.auburn.edu","FullTime",0.9152
"Concordia College Alabama",0.307,0.374,0.346,"Selma","AL","36701","www.ccal.edu/","FullTime",0.3488
"South University-Montgomery",0.478,0.601,0.59,"Montgomery","AL","36116","www.southuniversity.edu/montgomery#location=Montgomery,%20AL","FullTime",0.3846
"Faulkner University",0.532,0.596,0.619,"Montgomery","AL","36109-3390","www.faulkner.edu","FullTime",0.5797
"Herzing University-Birmingham",0.497,0.575,0.664,"Birmingham","AL","35209","https://www.herzing.edu/","FullTime",0.5
"Jacksonville State University",0.515,0.581,0.643,"Jacksonville","AL","36265","www.jsu.edu/","FullTime",0.7411
"Judson College",0.402,0.427,0.469,"Marion","AL","36756","www.judson.edu","FullTime",0.5833
"University of West Alabama",0.473,0.531,0.673,"Livingston","AL","35470","www.uwa.edu","FullTime",0.6568
"Miles College",0.33,0.405,0.466,"Fairfield","AL","35064-2621","www.miles.edu","FullTime",0.5
"University of Montevallo",0.485,0.583,0.625,"Montevallo","AL","35115-6000","www.montevallo.edu","FullTime",0.7759
"University of North Alabama",0.516,0.572,0.688,"Florence","AL","35632-0001","www.una.edu","FullTime",0.7579
"Oakwood University",0.381,0.494,0.543,"Huntsville","AL","35896","https://www2.oakwood.edu","FullTime",0.7
"University of South Alabama",0.562,0.636,0.666,"Mobile","AL","36688-0002","www.southalabama.edu","FullTime",0.776
"Stillman College",0.362,0.421,0.505,"Tuscaloosa","AL","35401","https://stillman.edu","FullTime",0.52
"Talladega College",0.314,0.372,0.323,"Talladega","AL","35160","www.talladega.edu","FullTime",0.64
"Troy University",0.549,0.604,0.66,"Troy","AL","36082-0001","www.troy.edu","FullTime",0.7002
"Tuskegee University",0.512,0.607,0.621,"Tuskegee","AL","36088-1920","www.tuskegee.edu","FullTime",0.6829
"University of Alaska Anchorage",0.649,0.678,0.714,"Anchorage","AK","99508","www.uaa.alaska.edu","FullTime",0.6944
"University of Alaska Fairbanks",0.55,0.6,0.646,"Fairbanks","AK","99775","www.uaf.edu","FullTime",0.7706
"University of Alaska Southeast",0.575,0.605,0.624,"Juneau","AK","99801-8697","www.uas.alaska.edu","FullTime",0.7
"Alaska Pacific University",0.601,0.634,0.675,"Anchorage","AK","99508","www.alaskapacific.edu","FullTime",0.7838
"Brookline College-Phoenix",0.281,0.321,0.367,"Phoenix","AZ","85021","www.brooklinecollege.edu","FullTime",0.2273
"Arizona State University-Tempe",0.696,0.749,0.787,"Tempe","AZ","85287","www.asu.edu/","FullTime",0.8659
"University of Arizona",0.675,0.724,0.78,"Tucson","AZ","85721-0066","www.arizona.edu","FullTime",0.8332
"Embry-Riddle Aeronautical University-Prescott",0.77,0.825,0.854,"Prescott","AZ","86301-3720","prescott.erau.edu/","FullTime",0.8681
"Grand Canyon University",0.507,0.664,0.79,"Phoenix","AZ","85017","www.gcu.edu","FullTime",0.6564
"Northern Arizona University",0.634,0.682,0.723,"Flagstaff","AZ","86011-4092","https://nau.edu/","FullTime",0.7584
"University of Arkansas at Little Rock",0.562,0.594,0.619,"Little Rock","AR","72204","ualr.edu/www/","FullTime",0.694
"University of Arkansas",0.669,0.741,0.759,"Fayetteville","AR","72701","https://www.uark.edu","FullTime",0.8221
"University of Arkansas at Pine Bluff",0.348,0.424,0.485,"Pine Bluff","AR","71601","www.uapb.edu","FullTime",0.7077
"Arkansas State University-Main Campus",0.489,0.555,0.582,"Jonesboro","AR","72401","www.astate.edu/","FullTime",0.7284
"Arkansas Tech University",0.516,0.594,0.626,"Russellville","AR","72801-2222","www.atu.edu","FullTime",0.7151
"University of Arkansas at Monticello",0.417,0.472,0.557,"Monticello","AR","71656","www.uamont.edu/","FullTime",0.5223
"University of Central Arkansas",0.534,0.626,0.675,"Conway","AR","72035-0001","www.uca.edu","FullTime",0.7215
"Harding University",0.607,0.673,0.706,"Searcy","AR","72149-5615","www.harding.edu","FullTime",0.8253
"Henderson State University",0.47,0.624,0.669,"Arkadelphia","AR","71999-0001","www.hsu.edu","FullTime",0.6459
"Ouachita Baptist University",0.576,0.649,0.716,"Arkadelphia","AR","71998-0001","www.obu.edu","FullTime",0.7873
"Philander Smith College",0.373,0.418,0.42,"Little Rock","AR","72202-3799","https://www.philander.edu","FullTime",0.5821
"Southern Arkansas University Main Campus",0.512,0.621,0.649,"Magnolia","AR","71753","https://www.saumag.edu","FullTime",0.6604
"University of Arkansas-Fort Smith",0.503,0.554,0.556,"Fort Smith","AR","72913-3649","uafs.edu/","FullTime",0.6708
"Academy of Art University",0.479,0.565,0.632,"San Francisco","CA","94105","www.academyart.edu","FullTime",0.7597
"Azusa Pacific University",0.689,0.73,0.759,"Azusa","CA","91702-7000","www.apu.edu","FullTime",0.8272
"Biola University",0.619,0.675,0.717,"La Mirada","CA","90639-0001","https://www.biola.edu","FullTime",0.8691
"California Baptist University",0.596,0.67,0.685,"Riverside","CA","92504-3297","www.calbaptist.edu","FullTime",0.7807
"California Polytechnic State University-San Luis Obispo",0.787,0.836,0.86,"San Luis Obispo","CA","93407","calpoly.edu","FullTime",0.9474
"California State University-Bakersfield",0.636,0.71,0.75,"Bakersfield","CA","93311-1099","www.csub.edu","FullTime",0.758
"California State University-Stanislaus",0.616,0.673,0.743,"Turlock","CA","95382-0299","https://www.csustan.edu","FullTime",0.797
"California State University-San Bernardino",0.594,0.665,0.726,"San Bernardino","CA","92407-2397","www.csusb.edu","FullTime",0.8523
"California State Polytechnic University-Pomona",0.69,0.754,0.805,"Pomona","CA","91768","www.cpp.edu","FullTime",0.8605
"California State University-Chico",0.66,0.725,0.77,"Chico","CA","95929-0150","www.csuchico.edu","FullTime",0.8363
"California State University-Dominguez Hills",0.593,0.65,0.735,"Carson","CA","90747-0005","https://www.csudh.edu","FullTime",0.7701
"California State University-Fresno",0.579,0.681,0.74,"Fresno","CA","93740","www.fresnostate.edu/","FullTime",0.8142
"California State University-Fullerton",0.639,0.711,0.761,"Fullerton","CA","92831-3599","www.fullerton.edu","FullTime",0.8683
"California State University-East Bay",0.684,0.738,0.79,"Hayward","CA","94542","www.csueastbay.edu","FullTime",0.7532
"California State University-Long Beach",0.645,0.718,0.762,"Long Beach","CA","90840-0115","www.csulb.edu","FullTime",0.8822
"California State University-Los Angeles",0.606,0.689,0.747,"Los Angeles","CA","90032-8506","www.calstatela.edu","FullTime",0.7913
"California State University-Northridge",0.6,0.678,0.739,"Northridge","CA","91330","https://www.csun.edu","FullTime",0.8037
"California State University-Sacramento",0.676,0.749,0.782,"Sacramento","CA","95819-2694","www.csus.edu","FullTime",0.8291
"University of California-Berkeley",0.747,0.806,0.842,"Berkeley","CA","94720","www.berkeley.edu","FullTime",0.9726
"University of California-Davis",0.69,0.778,0.843,"Davis","CA","95616-8678","www.ucdavis.edu","FullTime",0.9278
"University of California-Irvine",0.705,0.776,0.817,"Irvine","CA","92697","www.uci.edu/","FullTime",0.9401
"University of California-Los Angeles",0.717,0.798,0.831,"Los Angeles","CA","90095-1405","www.ucla.edu/","FullTime",0.966
"University of California-Riverside",0.609,0.717,0.791,"Riverside","CA","92521","WWW.UCR.EDU","FullTime",0.8887
"University of California-San Diego",0.727,0.799,0.837,"La Jolla","CA","92093","www.ucsd.edu","FullTime",0.9433
"University of California-Santa Barbara",0.671,0.756,0.805,"Santa Barbara","CA","93106","www.ucsb.edu","FullTime",0.9253
"University of California-Santa Cruz",0.604,0.688,0.746,"Santa Cruz","CA","95064-1011","www.ucsc.edu/","FullTime",0.9056
"California State University Maritime Academy",0.876,0.858,0.866,"Vallejo","CA","94590-8181","https://www.csum.edu","FullTime",0.7458
"Chapman University",0.708,0.768,0.781,"Orange","CA","92866","https://www.chapman.edu","FullTime",0.9051
"Concordia University-Irvine",0.645,0.654,0.732,"Irvine","CA","92612-3203","www.cui.edu","FullTime",0.7463
"Cogswell College",0.528,0.672,0.771,"San Jose","CA","95134","www.cogswell.edu","FullTime",0.7524
"Columbia College Hollywood",0.402,0.545,0.562,"Tarzana","CA","91356-1411","https://www.columbiacollege.edu","FullTime",0.8644
"Design Institute of San Diego",0.587,0.62,0.689,"San Diego","CA","92121","www.disd.edu","FullTime",0.75
"Dominican University of California",0.724,0.732,0.774,"San Rafael","CA","94901-2298","https://www.dominican.edu","FullTime",0.8619
"FIDM-Fashion Institute of Design & Merchandising-Los Angeles",0.613,0.635,0.631,"Los Angeles","CA","90015-1421","www.fidm.edu","FullTime",0.9179
"Feather River Community College District",0.397,0.431,0.513,"Quincy","CA","95971-9124","www.frc.edu","FullTime",0.875
"Fresno Pacific University",0.614,0.659,0.709,"Fresno","CA","93702-4709","www.fresno.edu","FullTime",0.7889
"Holy Names University",0.642,0.71,0.805,"Oakland","CA","94619-1699","www.hnu.edu","FullTime",0.8211
"Humboldt State University",0.459,0.561,0.618,"Arcata","CA","95521-8299","www.humboldt.edu","FullTime",0.6792
"Life Pacific College",0.51,0.57,0.572,"San Dimas","CA","91773-3298","www.lifepacific.edu","FullTime",0.614
"Argosy University-The Art Institute of California-San Diego",0.543,0.67,0.706,"San Diego","CA","92108-4423","www.artinstitutes.edu/san-diego/","FullTime",0.5217
